,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,RET_FT4_POOLED
54,University of Alaska Anchorage,Anchorage,AK,3,11.0,0.6905,651.0,645.0,7284.0,8622.0,25228.0,0.3047,0.6869,0.1516,1,1320.0,12662.0,8276.0,9868.0,9763.0,51200,12.0,45312.0,56895.0,0.15,9370.0,,33525,72116.59,0.1708,13122.0,8106.0,0.684
55,Alaska Bible College,Palmer,AK,3,32.0,,651.0,645.0,37.0,10900.0,10900.0,0.5,1.0,0.0,1,400.0,6000.0,3556.0,10168.0,4846.0,,5.0,,,,,,42490,,0.175,5290.0,9080.0,0.7059
56,University of Alaska Fairbanks,Fairbanks,AK,3,23.0,0.6469,680.0,680.0,4108.0,7248.0,21384.0,0.3845,0.6793,0.2634,1,2000.0,10540.0,2650.0,12050.0,4250.0,45100,12.0,41851.0,55256.0,0.15,9570.0,,35967,65084.81,0.1844,19104.0,9274.0,0.729
58,Alaska Pacific University,Anchorage,AK,3,11.0,0.9603,651.0,645.0,347.0,20760.0,20760.0,0.2222,0.6842,0.1667,1,1200.0,8300.0,4410.0,17500.0,4410.0,45300,8.0,47566.0,48737.0,0.1,6497.0,,38810,70542.98,0.4519,13548.0,12185.0,0.5938
69,Arizona State University Campus Immersion,Tempe,AZ,3,12.0,0.8819,651.0,645.0,64216.0,11348.0,29438.0,0.6602,0.86,0.5183,1,1300.0,13696.0,3430.0,9974.0,4412.0,55500,18.0,53185.0,68098.0,0.17,11668.0,,35851.5,69074.33,0.3051,13199.0,18530.0,0.8611
71,University of Arizona,Tucson,AZ,3,11.0,0.8727,680.0,690.0,36560.0,12736.0,37258.0,0.6434,0.8403,0.4979,1,900.0,13450.0,3600.0,10900.0,5600.0,56000,17.0,52823.0,69611.0,0.18,11400.0,,43043,64708.31,0.2882,12902.0,14180.0,0.8479
78,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,3,41.0,0.7376,660.0,690.0,3015.0,38966.0,38966.0,0.699,0.7754,0.3979,1,1400.0,12736.0,4934.0,12736.0,4934.0,70300,17.0,73751.0,83733.0,0.18,9290.0,,38662,66671.2,0.381,14446.0,30059.0,0.7988
81,Grand Canyon University,Phoenix,AZ,3,11.0,0.8284,651.0,645.0,64210.0,17800.0,17800.0,0.4474,0.7059,0.374,1,800.0,7800.0,5700.0,7800.0,5700.0,58500,20.0,36135.0,47155.0,0.1,6956.0,,29879,62877.37,0.5497,2364.0,11504.0,0.7196
87,Northern Arizona University,Flagstaff,AZ,3,13.0,0.7835,651.0,645.0,23772.0,11896.0,26642.0,0.59,0.7446,0.4514,1,900.0,11338.0,4720.0,10914.0,4720.0,44600,21.0,46837.0,57390.0,0.15,8903.0,,41212,59985.62,0.3447,6139.0,7464.0,0.7538
89,Ottawa University-Phoenix,Phoenix,AZ,3,11.0,,651.0,645.0,348.0,,,,,,1,,7800.0,5700.0,10817.5,5612.5,48100,9.0,46387.0,56018.0,0.08,6026.0,,37231.5,65346.8,0.6187,1962.0,9998.0,
94,Prescott College,Prescott,AZ,3,13.0,0.9932,651.0,645.0,383.0,34701.0,34701.0,0.4,0.75,0.3429,1,1018.0,9520.0,1923.0,8162.0,1923.0,34300,9.0,38620.0,35825.0,0.15,5070.0,,26676,62739.99,0.5355,6227.0,13202.0,0.6699
100,Arizona Christian University,Glendale,AZ,3,21.0,0.7594,590.0,580.0,1012.0,30624.0,30624.0,0.3583,0.4804,0.3,1,1600.0,12000.0,5200.0,11000.0,6200.0,34900,18.0,31094.0,54678.0,0.15,5291.0,,36206.5,65520.64,0.7514,4486.0,13178.0,0.474
163,Academy of Art University,San Francisco,CA,3,11.0,,651.0,645.0,5294.0,25424.0,25424.0,0.3802,0.6899,0.0748,1,1126.0,19486.0,3186.0,17254.0,4968.0,47300,14.0,36505.0,43654.0,0.07,9482.0,,22550.5,74015.06,0.4938,14347.0,32083.0,0.6987
175,Art Center College of Design,Pasadena,CA,3,12.0,0.7556,651.0,645.0,2026.0,48044.0,48044.0,0.7586,0.8504,0.3046,1,4000.0,14498.5,3342.06,13530.0,6492.0,62300,8.0,67619.0,73830.0,0.21,7942.0,,30283,74131.88,0.4686,21979.0,33207.0,0.8134
178,Azusa Pacific University,Azusa,CA,3,21.0,0.941,628.0,638.0,3937.0,41510.0,41510.0,0.7151,0.7928,0.5328,1,1126.0,9820.0,3142.0,17254.0,4862.0,55900,10.0,58110.0,67249.0,0.16,8957.0,,44669,73950.46,0.4772,10122.0,19762.0,0.7762
182,Bethesda University,Anaheim,CA,3,11.0,,651.0,645.0,264.0,6560.0,6560.0,0.1525,0.4706,0.1356,1,400.0,14498.5,3342.06,10539.0,6867.0,PrivacySuppressed,10.0,,,,2482.0,,10349,73410.31,0.2035,1027.0,6000.0,0.4783
183,Biola University,La Mirada,CA,3,21.0,0.6077,688.0,660.0,3592.0,44382.0,44382.0,0.6994,0.878,0.5503,1,1200.0,10202.0,3716.0,10202.0,3716.0,50700,13.0,47448.0,62385.0,0.24,9807.0,,60489,75484.4,0.4786,10650.0,19084.0,0.8239
187,California Institute of Integral Studies,San Francisco,CA,3,11.0,,651.0,645.0,84.0,,,,,,1,,16982.17,3909.83,16905.2,4748.6,PrivacySuppressed,12.0,,38849.0,0.1,8677.0,,18380,76698.12,0.7959,11461.0,26503.0,
189,California Baptist University,Riverside,CA,3,11.0,0.6373,651.0,645.0,8234.0,37018.0,37018.0,0.5674,0.7866,0.373,1,1126.0,10710.0,3060.0,17254.0,4842.0,47500,19.0,51359.0,63538.0,0.15,10151.0,,42597,66849.57,0.6467,9490.0,18785.0,0.775
190,California College of the Arts,San Francisco,CA,3,11.0,0.7763,651.0,645.0,1239.0,52312.0,52312.0,0.6542,0.822,0.4375,1,1500.0,19117.0,3450.0,15662.0,4160.0,48000,8.0,41402.0,55677.0,0.19,8739.0,,38844.5,73343.27,0.2728,18910.0,30947.0,0.7562
192,California Institute of Technology,Pasadena,CA,3,12.0,0.0392,651.0,645.0,987.0,58680.0,58680.0,0.9292,0.9911,0.8625,1,1428.0,17748.0,2091.0,17253.0,4761.0,106300,3.0,85002.0,109257.0,0.6,20924.0,,44848,81448.64,0.0388,112738.0,13812.0,0.9631
193,California Lutheran University,Thousand Oaks,CA,3,12.0,0.8194,640.0,650.0,2588.0,46012.0,46012.0,0.7378,0.8327,0.6807,1,1125.0,14970.0,3079.0,17253.0,4861.0,60200,14.0,60821.0,71851.0,0.23,10375.0,,56619,81648.78,0.5342,9346.0,19924.0,0.808
194,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,3,23.0,0.33,651.0,645.0,21090.0,10195.0,28105.0,0.8539,0.9463,0.5704,1,909.0,16332.0,2244.0,16332.0,2244.0,74300,21.0,72806.0,96477.0,0.4,10582.0,,74513,74683.78,0.2275,9301.0,10447.0,0.9444
196,California State University-Bakersfield,Bakersfield,CA,3,11.0,0.8521,651.0,645.0,8870.0,7579.0,19459.0,0.4756,0.7513,0.1741,1,1266.0,12900.0,3132.0,15464.0,4474.0,50100,21.0,53326.0,60296.0,0.15,9468.0,,27270.5,53982.7,0.241,6385.0,4010.0,0.7906
197,California State University-Stanislaus,Turlock,CA,3,23.0,0.9476,651.0,645.0,9161.0,7644.0,19524.0,0.5762,0.7933,0.1893,1,1225.0,11576.0,3133.0,15465.0,3826.0,48500,20.0,54764.0,64803.0,0.16,9639.0,,28214,56979.76,0.2198,7506.0,4091.0,0.8342
198,California State University-San Bernardino,San Bernardino,CA,3,12.0,0.9097,651.0,645.0,16595.0,7213.0,19093.0,0.5696,0.7804,0.1872,1,1145.0,12822.0,3634.0,16011.0,4040.0,48800,25.0,51349.0,61745.0,0.14,9973.0,,25849,59070.9,0.2053,7385.0,3229.0,0.8182
199,California State Polytechnic University-Pomona,Pomona,CA,3,21.0,0.6062,651.0,645.0,26802.0,7439.0,19319.0,0.7018,0.8768,0.2843,1,1045.0,16570.0,3133.0,13643.0,3708.0,58000,28.0,56915.0,76518.0,0.22,10556.0,,29032,68064.96,0.2349,6307.0,4224.0,0.8738
200,California State University-Chico,Chico,CA,3,12.0,0.8547,651.0,645.0,14343.0,7864.0,19744.0,0.6537,0.8088,0.3306,1,1184.0,14838.0,2236.0,12208.0,2728.0,55400,22.0,55893.0,69927.0,0.2,9593.0,,30780,61867.44,0.3438,7114.0,4926.0,0.8227
201,California State University-Dominguez Hills,Carson,CA,3,13.0,0.8959,651.0,645.0,15214.0,7060.0,18940.0,0.5253,0.7032,0.158,1,1100.0,15120.0,2662.0,19652.0,4238.0,48500,25.0,47379.0,56487.0,0.12,9821.0,,20044,54533,0.201,6371.0,3824.0,0.7448
202,California State University-Fresno,Fresno,CA,3,11.0,0.9728,651.0,645.0,21826.0,6653.0,18533.0,0.5657,0.7691,0.1784,1,1125.0,10758.0,3792.0,16003.0,4304.0,48500,22.0,52047.0,61563.0,0.16,9546.0,,27059,53295.09,0.1749,6769.0,3385.0,0.8171
203,California State University-Fullerton,Fullerton,CA,3,21.0,0.5943,651.0,645.0,35502.0,6976.0,18856.0,0.7147,0.8681,0.2897,1,1203.0,16703.0,3133.0,17100.0,5003.0,51800,25.0,55014.0,64051.0,0.21,10353.0,,28124,73036.4,0.1913,6668.0,5270.0,0.8783
204,California State University-East Bay,Hayward,CA,3,21.0,0.8236,651.0,645.0,12047.0,6995.0,18875.0,0.4844,0.8049,0.1214,1,1034.0,14373.0,4258.0,16235.0,5114.0,58200,24.0,63204.0,65982.0,0.17,10355.0,,24527,78750.43,0.2727,5996.0,5652.0,0.7908
205,California State University-Long Beach,Long Beach,CA,3,11.0,0.4685,651.0,645.0,33765.0,6846.0,18726.0,0.7547,0.8729,0.3424,1,1070.0,13938.0,3134.0,13358.0,3638.0,53000,23.0,58408.0,65972.0,0.21,10297.0,,26465,66954.9,0.2307,7483.0,4712.0,0.8812
206,California State University-Los Angeles,Los Angeles,CA,3,11.0,0.9054,651.0,645.0,23506.0,6785.0,18665.0,0.519,0.7309,0.1098,1,1226.0,16860.0,3133.0,18602.0,6006.0,49900,25.0,51461.0,59651.0,0.15,10102.0,,22032,52850.08,0.1767,6631.0,3335.0,0.7741
207,California State University-Northridge,Northridge,CA,3,11.0,0.881,651.0,645.0,34436.0,7043.0,18923.0,0.542,0.8185,0.1655,1,1486.0,11502.0,3132.0,18962.0,4366.0,49700,26.0,53426.0,60910.0,0.16,10127.0,,22839,64055.44,0.2136,6440.0,4251.0,0.8274
208,California State University-Sacramento,Sacramento,CA,3,11.0,0.9368,651.0,645.0,29370.0,7392.0,19272.0,0.5746,0.8091,0.2031,1,1110.0,15944.0,3640.0,19096.0,3890.0,54200,25.0,57557.0,68517.0,0.18,9713.0,,27217,65686.13,0.2381,7169.0,5330.0,0.826
209,University of California-Berkeley,Berkeley,CA,3,12.0,0.1444,651.0,645.0,31811.0,14226.0,43980.0,0.9281,0.9615,0.7897,1,1118.0,20236.0,5893.0,16377.0,6199.0,79000,20.0,80202.0,98670.0,0.37,18770.0,,31227,77601.85,0.1481,21463.0,21095.0,0.9614
