,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,RET_FT4_POOLED
0,Adams State University,Alamosa,CO,3,,0.7433,570.0,550.0,1971.0,2602.0,8294.0,0.3445,0.52,0.1739,1,1187.0,6080.0,1620.0,7236.0,1620.0,,,,,,4821.0,,28239.5,,,2784.0,1608.0,
1,Adams State University,Alamosa,CO,3,,0.9978,592.0,599.0,2198.0,4773.0,9123.0,0.3535,0.55,0.1634,1,1306.0,6080.0,1928.0,9641.45,2710.82,,,,,,4780.0,,27118.5,50726.71,,2961.0,1767.0,
2,Adams State University,Alamosa,CO,3,,0.6294,540.0,540.0,2150.0,2924.0,9351.0,0.3088,0.57,0.1417,1,1160.0,6160.0,1746.0,9641.45,2710.82,,,,,,4985.0,,27937.0,,,2836.0,2311.0,
3,Adams State University,Alamosa,CO,3,,0.5767,553.0,510.0,2119.0,3466.0,10810.0,0.2925,0.5412,0.1511,1,1698.0,6410.0,2410.0,9641.45,2710.82,41200.0,,,,,5338.0,,28081.0,,,3212.0,2588.0,
4,Adams State University,Alamosa,CO,3,,0.6659,540.0,563.0,2173.0,3790.0,11686.0,0.2687,0.4926,0.1614,1,1749.0,6952.0,2529.0,9641.45,2710.82,,14.0,,,,5527.0,,29027.0,,,5988.0,4469.0,
5,Adams State University,Alamosa,CO,3,,0.5725,550.0,545.0,2349.0,4454.0,13598.0,0.2917,0.5754,0.1396,1,1749.0,7220.0,2566.0,9641.45,2710.82,38000.0,17.0,,,,5451.0,,30142.5,,0.5966,5976.0,4566.0,
6,Adams State University,Alamosa,CO,3,,0.5511,510.0,520.0,2444.0,4971.0,14931.0,0.2456,0.6222,0.1107,1,1749.0,7720.0,2566.0,9641.45,2710.82,,17.0,,,,5560.0,,31299.0,,0.7597,6830.0,4247.0,
7,Adams State University,Alamosa,CO,3,,0.6365,550.0,550.0,2441.0,5627.0,15875.0,0.2049,0.5399,0.0863,1,1314.0,7731.0,2565.0,8712.0,2583.0,36900.0,14.0,,,,5503.0,,33121.0,,0.6538,11164.0,8812.0,
8,Adams State University,Alamosa,CO,3,,0.6066,530.0,550.0,2382.0,6448.0,17416.0,0.2073,0.5864,0.0785,1,1350.0,8002.0,2610.0,8901.0,2610.0,37700.0,16.0,,,,6000.0,,34604.0,,0.632,7166.0,5460.0,
9,Adams State University,Alamosa,CO,3,,0.526,533.0,550.0,2227.0,7449.0,18081.0,0.227,0.5592,0.1153,1,1350.0,8282.0,2610.0,8982.0,2610.0,38100.0,15.0,,,,5986.0,,35416.0,,0.629,7996.0,6026.0,
10,Adams State University,Alamosa,CO,3,,0.6529,520.0,560.0,2110.0,8014.0,18814.0,0.2125,0.5829,0.0941,1,1350.0,8572.0,2628.0,9072.0,2628.0,38100.0,15.0,,,,5861.0,,35904.5,,0.6305,8399.0,6568.0,
11,Adams State University,Alamosa,CO,3,,0.6435,530.0,533.0,2067.0,8574.0,19086.0,0.2698,0.5312,0.1054,1,1800.0,8696.0,2656.0,9603.0,2656.0,,14.0,,,,5999.0,,34067.5,,0.6062,9246.0,6691.0,
12,Adams State University,Alamosa,CO,3,,0.9857,530.0,520.0,1982.0,9153.0,20169.0,0.2514,0.6098,0.1373,1,1800.0,8550.0,2763.0,9693.0,2763.0,,16.0,,,,6222.0,,31933.0,,0.5362,9328.0,6776.0,
13,Adams State University,Alamosa,CO,3,,0.9888,540.0,540.0,1876.0,9440.0,20456.0,0.2852,0.6165,0.1438,1,1800.0,8630.0,3025.0,10332.0,3025.0,,16.0,,,,6022.0,,,,0.5539,11547.0,6567.0,
15,Adams State University,Alamosa,CO,3,,0.9909,550.0,540.0,1727.0,9440.0,20864.0,0.299,0.5877,0.1868,1,1800.0,8760.0,2916.0,10242.0,3069.0,,15.0,34744.0,43238.0,,6304.0,,,,0.4239,7681.0,7192.0,
16,Adams State University,Alamosa,CO,3,,0.9988,550.0,540.0,1612.0,9560.0,21296.0,0.3214,0.5929,0.1436,1,1800.0,8916.0,3105.0,11439.0,3105.0,,13.0,,,0.1,6348.0,,,,0.5409,8574.0,7183.0,
17,Adams State University,Alamosa,CO,3,33.0,0.9983,570.0,570.0,1484.0,9680.0,17933.0,0.287,0.5924,0.2198,1,1800.0,9167.0,3150.0,11844.0,3150.0,38100.0,11.0,34744.0,43238.0,0.1,6465.0,,31933.0,50726.71,0.4932,8530.0,6779.0,0.5926
18,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.8768,540.0,540.0,1532.0,4688.0,15847.0,,0.0,,1,950.0,6900.0,3822.0,6900.0,3822.0,,,,,,7281.0,,36306.0,,,,,
19,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.8768,540.0,540.0,1725.0,4971.0,17003.0,,0.7381,,1,950.0,7320.0,3830.0,7410.0,3880.0,56700.0,,,,,7396.0,,38053.5,,,12422.0,7696.0,
20,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.757,600.0,590.0,8555.0,9861.0,23654.0,0.4732,0.8408,0.2871,1,1040.0,11466.0,3154.0,8788.0,4386.0,52600.0,24.0,,,,8746.0,,37522.0,,0.5784,9165.0,11815.0,
21,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.7886,590.0,590.0,9113.0,10157.0,24503.0,0.5833,0.8401,0.4149,1,1060.0,11974.0,3404.0,8788.0,4386.0,55500.0,24.0,,,,8671.0,,37849.0,,0.5786,9648.0,12430.0,
22,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.7848,590.0,590.0,9158.0,10158.0,25458.0,0.6406,0.8316,0.4736,1,1081.0,13000.0,3404.0,9216.0,4708.0,,21.0,,,,8606.0,,36646.0,,0.5672,9902.0,13171.0,
23,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.767,590.0,590.0,9232.0,10370.0,26470.0,0.6722,0.8436,0.535,1,1103.0,13310.0,3404.0,9216.0,4708.0,,18.0,,,,8855.0,,35851.5,,0.5391,5554.0,8575.0,
24,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.7721,640.0,620.0,8898.0,10792.0,27372.0,0.656,0.8588,0.5484,1,1125.0,13842.0,3404.0,9493.0,4708.0,,15.0,,,,8932.0,,,,0.5191,6280.0,9690.0,
25,Arizona State University-Downtown Phoenix,Phoenix,AZ,3,,0.8062,640.0,630.0,8697.0,10822.0,28336.0,0.6948,0.856,0.5939,1,1148.0,14584.0,3430.0,9684.0,4412.0,,14.0,49782.0,64882.0,,9177.0,,,,0.4852,9185.0,12487.0,
