,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
0,Alabama A & M University,Normal,AL,3,12.0,0.716,520.0,510.0,5098.0,10024.0,18634.0,0.2807,0.5797,0.1121,1,1600.0,9520.0,3090.0,9520.0,3090.0,35500,18.0,38167.0,40250.0,0.02,8779.0
1,University of Alabama at Birmingham,Birmingham,AL,3,12.0,0.8854,680.0,708.0,13284.0,8568.0,20400.0,0.6245,0.8392,0.4209,1,1200.0,12307.0,5555.0,12307.0,5555.0,48400,19.0,46559.0,59181.0,0.1,11590.0
3,University of Alabama in Huntsville,Huntsville,AL,3,12.0,0.7367,700.0,720.0,7358.0,11488.0,23884.0,0.6072,0.7899,0.3528,1,2300.0,10764.0,4156.0,10764.0,4156.0,52000,19.0,47787.0,67454.0,0.14,9820.0
4,Alabama State University,Montgomery,AL,3,12.0,0.9799,534.0,516.0,3495.0,11068.0,19396.0,0.2843,0.6436,0.1014,1,1600.0,6050.0,3392.0,7320.0,5130.0,30600,13.0,32303.0,36964.0,0.02,7701.0
5,The University of Alabama,Tuscaloosa,AL,3,13.0,0.789,680.0,690.0,30725.0,11620.0,31090.0,0.7223,0.8855,0.5264,1,800.0,13934.0,4670.0,13934.0,4670.0,51600,19.0,49692.0,65820.0,0.16,10509.0
8,Auburn University at Montgomery,Montgomery,AL,3,12.0,0.968,595.0,565.0,3742.0,8860.0,18820.0,0.3569,0.6303,0.1272,1,1200.0,7368.0,3830.0,10296.0,3830.0,38000,15.0,41023.0,52419.0,0.07,7885.0
9,Auburn University,Auburn,AL,3,13.0,0.7118,632.0,632.0,24782.0,11826.0,31986.0,0.8088,0.9289,0.552,1,1200.0,14596.0,6028.0,14596.0,6028.0,56300,20.0,51747.0,72676.0,0.22,11093.0
10,Birmingham-Southern College,Birmingham,AL,3,12.0,0.6591,610.0,630.0,1048.0,20100.0,20100.0,0.6984,0.7813,0.6485,1,1000.0,13600.0,2770.0,8000.0,4690.0,53100,10.0,50574.0,62871.0,0.15-0.19,7636.0
15,Faulkner University,Montgomery,AL,3,12.0,0.646,600.0,605.0,1696.0,23490.0,23490.0,0.1851,0.6421,0.1191,1,1800.0,7900.0,4400.0,7900.0,4400.0,40700,13.0,36554.0,50237.0,0.04,6271.0
22,Huntingdon College,Montgomery,AL,3,12.0,0.693,560.0,510.0,838.0,27900.0,27900.0,0.4422,0.7215,0.3347,1,300.0,10460.0,2068.0,9460.0,2068.0,43600,15.0,44896.0,52578.0,0.11-0.12,7133.0
26,Jacksonville State University,Jacksonville,AL,3,23.0,0.7634,580.0,660.0,6992.0,11120.0,20840.0,0.4966,0.6922,0.2576,1,1196.0,8320.0,1997.0,9927.0,2680.0,38100,19.0,38720.0,45632.0,0.07,7499.0
30,University of West Alabama,Livingston,AL,3,43.0,0.7433,470.0,510.0,2310.0,10990.0,20090.0,0.3914,0.627,0.2602,1,1216.0,7594.0,3505.0,7200.0,3505.0,40400,14.0,33826.0,44939.0,0.05,6730.0
