,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
0,Alabama A & M University,Normal,AL,3,12.0,0.716,520.0,510.0,5098.0,10024.0,18634.0,0.2807,0.5797,0.1121,1,1600.0,9520.0,3090.0,9520.0,3090.0,35500,18.0,38167.0,40250.0,0.02,8779.0,,23553,49720.22,0.6552,7699.0,9243.0,0.559
1,University of Alabama at Birmingham,Birmingham,AL,3,12.0,0.8854,680.0,708.0,13284.0,8568.0,20400.0,0.6245,0.8392,0.4209,1,1200.0,12307.0,5555.0,12307.0,5555.0,48400,19.0,46559.0,59181.0,0.1,11590.0,,34489,55735.22,0.4401,14264.0,11678.0,0.8522
2,Amridge University,Montgomery,AL,3,12.0,,,,251.0,,,0.4444,,0.6667,1,,,,,,47600,13.0,32654.0,49435.0,<=0.05,4672.0,,15033.5,53683.7,0.8423,4381.0,14093.0,0.5
3,University of Alabama in Huntsville,Huntsville,AL,3,12.0,0.7367,700.0,720.0,7358.0,11488.0,23884.0,0.6072,0.7899,0.3528,1,2300.0,10764.0,4156.0,10764.0,4156.0,52000,19.0,47787.0,67454.0,0.14,9820.0,,44787,58688.62,0.3578,8156.0,8246.0,0.8048
4,Alabama State University,Montgomery,AL,3,12.0,0.9799,534.0,516.0,3495.0,11068.0,19396.0,0.2843,0.6436,0.1014,1,1600.0,6050.0,3392.0,7320.0,5130.0,30600,13.0,32303.0,36964.0,0.02,7701.0,,22080.5,46065.2,0.7637,9459.0,8535.0,0.6315
5,The University of Alabama,Tuscaloosa,AL,3,13.0,0.789,680.0,690.0,30725.0,11620.0,31090.0,0.7223,0.8855,0.5264,1,800.0,13934.0,4670.0,13934.0,4670.0,51600,19.0,49692.0,65820.0,0.16,10509.0,,66733.5,57928.41,0.3454,8912.0,13731.0,0.8788
6,Central Alabama Community College,Alexander City,AL,2,32.0,,,,940.0,4930.0,8620.0,,,,2,1000.0,,,10238.0,4360.0,32400,15.0,28871.0,44599.0,0.05-0.06,6523.0,,22217,43985.14,0.1488,8098.0,1731.0,
7,Athens State University,Athens,AL,3,31.0,,,,2511.0,,,,,,1,,,,,,42400,14.0,41694.0,59402.0,0.07,8834.0,,29645.5,50752.1,0.455,7908.0,6761.0,
8,Auburn University at Montgomery,Montgomery,AL,3,12.0,0.968,595.0,565.0,3742.0,8860.0,18820.0,0.3569,0.6303,0.1272,1,1200.0,7368.0,3830.0,10296.0,3830.0,38000,15.0,41023.0,52419.0,0.07,7885.0,,29671.5,50723.81,0.5138,7040.0,7879.0,0.6627
9,Auburn University,Auburn,AL,3,13.0,0.7118,,,24782.0,11826.0,31986.0,0.8088,0.9289,0.552,1,1200.0,14596.0,6028.0,14596.0,6028.0,56300,20.0,51747.0,72676.0,0.22,11093.0,,72031,59005.4,0.2869,8180.0,17273.0,0.9243
10,Birmingham-Southern College,Birmingham,AL,3,12.0,0.6591,610.0,630.0,1048.0,20100.0,20100.0,0.6984,0.7813,0.6485,1,1000.0,13600.0,2770.0,8000.0,4690.0,53100,10.0,50574.0,62871.0,0.15-0.19,7636.0,,68094.5,64789.39,0.6785,11867.0,10137.0,0.7891
11,Chattahoochee Valley Community College,Phenix City,AL,1,41.0,,,,1107.0,3936.0,7128.0,,,,2,800.0,,,5500.0,2000.0,31300,12.0,30977.0,35241.0,0.03-0.04,6452.0,,20813,46908.55,0.2352,6304.0,1380.0,
12,South University-Montgomery,Montgomery,AL,3,12.0,,,,337.0,17014.0,17014.0,0.1071,0.5,0.0909,1,1500.0,,,7792.0,6782.0,40200,15.0,33112.0,43950.0,0.05,5061.0,,20000,55764.27,0.6125,7130.0,9771.0,0.4348
13,Enterprise State Community College,Enterprise,AL,2,32.0,,,,1336.0,4860.0,8550.0,,,,2,950.0,,,5400.0,2696.0,42700,16.0,30182.0,49872.0,0.09-0.10,8764.0,,20456,44274,0.1968,6070.0,3488.0,
14,Coastal Alabama Community College,Bay Minette,AL,2,32.0,,,,5217.0,4860.0,8850.0,,,,2,1500.0,5900.0,4407.0,6215.0,4507.0,33900,16.0,29833.0,43775.0,0.07,7345.0,,24150,52162.04,0.2051,5588.0,2249.0,
15,Faulkner University,Montgomery,AL,3,12.0,0.646,600.0,605.0,1696.0,23490.0,23490.0,0.1851,0.6421,0.1191,1,1800.0,7900.0,4400.0,7900.0,4400.0,40700,13.0,36554.0,50237.0,0.04,6271.0,,24037.5,52330.99,0.6022,7932.0,13718.0,0.6238
16,Gadsden State Community College,Gadsden,AL,2,13.0,,,,3513.0,3936.0,6888.0,,,,2,1600.0,4800.0,2324.0,4500.0,2916.0,30200,15.0,26278.0,40576.0,PrivacySuppressed,6832.0,,16623,43919.51,0.0,5611.0,2113.0,
17,New Beginning College of Cosmetology,Albertville,AL,1,32.0,,,,57.0,,,,,,3,,,,,,,14.0,,,0.10-0.19,,2.0,17173,,0.6538,2573.0,7442.0,
18,George C Wallace Community College-Dothan,Dothan,AL,1,13.0,,,,3191.0,4800.0,8790.0,,,,2,1200.0,,,9450.0,1000.0,29800,14.0,28146.0,39561.0,PrivacySuppressed,6455.0,,15816,43000.16,0.0,7019.0,2844.0,
19,George C Wallace State Community College-Hanceville,Hanceville,AL,1,32.0,,,,4303.0,4860.0,8550.0,,,,2,1600.0,4900.0,6160.0,12080.0,6160.0,34800,18.0,31161.0,45099.0,0.1,7650.0,,27572,47769.34,0.2154,6618.0,3154.0,
20,George C Wallace State Community College-Selma,Selma,AL,2,32.0,,,,942.0,4560.0,8250.0,,,,2,2500.0,,,7400.0,1000.0,27300,14.0,24143.0,35355.0,PrivacySuppressed,6309.0,,14330,35579.05,0.0,4735.0,1737.0,
21,Herzing University-Birmingham,Birmingham,AL,1,21.0,0.9385,,,608.0,14200.0,14200.0,0.3913,0.5,,1,0.0,,,9243.0,5202.0,41600,14.0,32250.0,42286.0,0.04,6644.0,,18321,60281.46,0.7582,3760.0,13409.0,0.4444
22,Huntingdon College,Montgomery,AL,3,12.0,0.693,560.0,510.0,838.0,27900.0,27900.0,0.4422,0.7215,0.3347,1,300.0,10460.0,2068.0,9460.0,2068.0,43600,15.0,44896.0,52578.0,0.11-0.12,7133.0,,37577,54037.99,0.7043,7326.0,13368.0,0.7095
23,Heritage Christian University,Florence,AL,3,13.0,,,,71.0,11632.0,11632.0,0.0,1.0,0.0,1,1000.0,5822.0,2529.0,14490.0,4005.0,PrivacySuppressed,6.0,,,PrivacySuppressed,5072.0,,36524,51048.04,0.0429,9032.0,12070.0,1.0
24,J. F. Drake State Community and Technical College,Huntsville,AL,1,12.0,,,,688.0,4830.0,8520.0,,,,2,2000.0,,,6300.0,2800.0,27600,12.0,26580.0,31251.0,PrivacySuppressed,6085.0,,13959,52646.49,0.0,6551.0,2149.0,
25,J F Ingram State Technical College,Deatsville,AL,1,21.0,,,,400.0,5472.0,5472.0,,,,2,612.0,,,,,,9.0,,,PrivacySuppressed,5888.0,,0,,0.0,12748.0,33.0,
26,Jacksonville State University,Jacksonville,AL,3,23.0,0.7634,580.0,660.0,6992.0,11120.0,20840.0,0.4966,0.6922,0.2576,1,1196.0,8320.0,1997.0,9927.0,2680.0,38100,19.0,38720.0,45632.0,0.07,7499.0,,35734,48389.27,0.6939,7545.0,6620.0,0.7144
27,Jefferson State Community College,Birmingham,AL,2,12.0,,,,6143.0,4920.0,8610.0,,,,2,1552.0,,,15066.0,4759.0,33800,19.0,34017.0,46291.0,0.1,6996.0,,25922,57833.36,0.1976,5217.0,3116.0,
28,John C Calhoun State Community College,Tanner,AL,1,41.0,,,,6795.0,4940.0,8630.0,,,,2,2650.0,,,4500.0,3200.0,32200,20.0,30025.0,43109.0,0.08,7044.0,,25186,56005.43,0.1758,4839.0,3686.0,
29,Lawson State Community College,Birmingham,AL,2,12.0,,,,2779.0,4860.0,8550.0,,,,2,2300.0,4760.0,3000.0,7560.0,5807.0,26600,17.0,28409.0,33833.0,PrivacySuppressed,6854.0,,16187.5,40437.86,0.0,6514.0,1447.0,
30,University of West Alabama,Livingston,AL,3,43.0,0.7433,470.0,510.0,2310.0,10990.0,20090.0,0.3914,0.627,0.2602,1,1216.0,7594.0,3505.0,7200.0,3505.0,40400,14.0,33826.0,44939.0,0.05,6730.0,,25552.5,40238.44,0.6499,7462.0,8863.0,0.6259
