School_Name,City,State,Population 2020 Census,Median salary for HS graduate (equivalency) US Career Institute,Median Household Income Census,BachPlus Census,EmployRate Census,Median Individual Income by State (2022),Percentage with 4 year education or higher,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate,Total_Cost,ROI,Column1
University of California-Berkeley,Berkeley,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,12.0,0.1444,635,624,31811.0,14226.0,43980.0,0.9281,0.7897,1,1118.0,20236.0,5893.0,16377.0,6199.0,79000.0,20.0,80202.0,98670.0,0.37,18770.0,31227.0,77601.85,0.1481,21463.0,21095.0,0.9614,171713.0,0.460070001,1.840280002
New Mexico Institute of Mining and Technology,Socorro,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33.0,0.9672,660,660,1201.0,8425.0,24254.0,0.5526,0.3063,1,800.0,8518.0,3450.0,8518.0,3450.0,58500.0,10.0,53475.0,65006.0,0.25,9083.0,39182.0,52104.89,0.4532,11883.0,6489.0,0.7826,132765.0,0.440628178,1.76251271
University of California-Los Angeles,Los Angeles,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.1077,635,624,32122.0,13258.0,43012.0,0.9213,0.826,1,1405.0,16763.0,4871.0,15950.0,5560.0,73200.0,18.0,74996.0,87902.0,0.32,19498.0,32613.5,72896.84,0.1224,60528.0,18698.0,0.963,166537.0,0.439541964,1.758167855
University of California-San Diego,La Jolla,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.342,635,624,33339.0,14700.0,44454.0,0.8935,0.7302,1,1152.0,16145.0,4163.0,14383.0,4881.0,69600.0,19.0,75009.0,90831.0,0.36,16913.0,35914.0,76397.62,0.246,22086.0,18651.0,0.946,166400.0,0.418269231,1.673076923
South Dakota School of Mines and Technology,Rapid City,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,13.0,0.8048,665,690,1976.0,12110.0,16530.0,0.5231,0.2404,1,2060.0,8140.0,4400.0,10760.0,4400.0,62400.0,11.0,59222.0,75625.0,0.25,9844.0,76508.0,52423.4,0.4688,11960.0,8714.0,0.7437,154294.0,0.404422725,1.617690902
University of Utah,Salt Lake City,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,12.0,0.9497,690,700,24850.0,8893.0,28345.0,0.672,0.3587,1,1036.0,10662.0,3672.0,12978.0,3672.0,63500.0,18.0,49195.0,77191.0,0.21,11146.0,38625.0,69474.52,0.2371,16497.0,12602.0,0.8761,159883.0,0.397165427,1.588661709
Oregon Institute of Technology,Klamath Falls,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,33.0,0.9062,650,650,3257.0,11622.0,32515.0,0.5556,0.2809,1,1225.0,10214.0,3568.0,12040.0,3568.0,57800.0,15.0,58593.0,80269.0,0.2,8499.0,36182.0,52974.7,0.2949,9605.0,9092.0,0.7164,153369.0,0.376868859,1.507475435
Oregon State University,Corvallis,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,13.0,0.8921,680,690,27038.0,12188.0,31579.0,0.6818,0.4059,1,600.0,13860.0,2754.0,13860.0,2745.0,56700.0,18.0,52655.0,69532.0,0.19,10714.0,44450.0,60312.67,0.3305,11183.0,12585.0,0.8567,156142.0,0.363130996,1.452523985
University of Nevada-Reno,Reno,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,11.0,0.8816,640,630,16274.0,8588.0,24680.0,0.6268,0.3979,1,1200.0,12216.0,4792.0,12216.0,4792.0,56300.0,17.0,54508.0,67144.0,0.19,10322.0,48103.0,68050.29,0.2884,12091.0,8227.0,0.7949,158088.0,0.356130763,1.42452305
University of Colorado Boulder,Boulder,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12.0,0.7958,690,700,30414.0,12496.0,38314.0,0.7404,0.5306,1,1200.0,15676.0,2979.0,13050.0,2979.0,59700.0,18.0,60294.0,71679.0,0.27,12044.0,70221.0,81327.65,0.2472,18097.0,20776.0,0.8611,172923.0,0.345240367,1.380961468
Montana State University,Bozeman,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33.0,0.73,650,650,14329.0,7528.0,28264.0,0.5452,0.3105,1,1450.0,10400.0,3908.0,10400.0,3908.0,48900.0,18.0,45110.0,58763.0,0.2,8598.0,56045.0,53207.14,0.3393,8484.0,11707.0,0.7687,142782.0,0.342480145,1.369920578
California State University-Long Beach,Long Beach,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11.0,0.4685,635,624,33765.0,6846.0,18726.0,0.7547,0.3424,1,1070.0,13938.0,3134.0,13358.0,3638.0,53000.0,23.0,58408.0,65972.0,0.21,10297.0,26465.0,66954.9,0.2307,7483.0,4712.0,0.8812,155228.0,0.341433247,1.365732986
University of North Dakota,Grand Forks,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,13.0,0.8903,630,660,8998.0,10596.0,15037.0,0.6178,0.3983,1,800.0,9922.0,3446.0,9922.0,3446.0,57800.0,17.0,53433.0,71034.0,0.24,9136.0,78651.0,56722.24,0.4511,17790.0,15459.0,0.7906,171640.0,0.33675134,1.34700536
South Dakota State University,Brookings,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,33.0,0.8743,600,620,8651.0,9299.0,12809.0,0.5955,0.4152,1,1200.0,8054.0,4063.0,9025.0,4780.0,50200.0,17.0,47108.0,58219.0,0.21,8860.0,73000.0,53049.11,0.4901,8746.0,8708.0,0.8043,150200.0,0.334221039,1.336884154
