School_Name,City,State,Population 2020 Census,Median salary for HS graduate (equivalency) US Career Institute,Median Household Income Census,BachPlus Census,EmployRate Census,Median Individual Income by State (2022),Percentage with 4 year education or higher,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate,Total_Cost,ROI,Column1
University of California-Berkeley,Berkeley,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,12,0.1444,635,624,31811,14226,43980,0.9281,0.7897,1,1118,20236,5893,16377,6199,79000,20,80202,98670,0.37,18770,,31227,77601.85,0.1481,21463,21095,0.9614,171713,0.460070001,1.840280002
New Mexico Institute of Mining and Technology,Socorro,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33,0.9672,660,660,1201,8425,24254,0.5526,0.3063,1,800,8518,3450,8518,3450,58500,10,53475,65006,0.25,9083,,39182,52104.89,0.4532,11883,6489,0.7826,132765,0.440628178,1.76251271
University of California-Los Angeles,Los Angeles,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.1077,635,624,32122,13258,43012,0.9213,0.826,1,1405,16763,4871,15950,5560,73200,18,74996,87902,0.32,19498,,32613.5,72896.84,0.1224,60528,18698,0.963,166537,0.439541964,1.758167855
University of California-San Diego,La Jolla,CA,39538223,32560,91551,0.37,0.6,39812,0.37,3,11,0.342,635,624,33339,14700,44454,0.8935,0.7302,1,1152,16145,4163,14383,4881,69600,19,75009,90831,0.36,16913,,35914,76397.62,0.246,22086,18651,0.946,166400,0.418269231,1.673076923
South Dakota School of Mines and Technology,Rapid City,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,13,0.8048,665,690,1976,12110,16530,0.5231,0.2404,1,2060,8140,4400,10760,4400,62400,11,59222,75625,0.25,9844,,76508,52423.4,0.4688,11960,8714,0.7437,154294,0.404422725,1.617690902
University of Utah,Salt Lake City,UT,3271616,33905,89168,0.379,0.678,37332,0.379,3,12,0.9497,690,700,24850,8893,28345,0.672,0.3587,1,1036,10662,3672,12978,3672,63500,18,49195,77191,0.21,11146,,38625,69474.52,0.2371,16497,12602,0.8761,159883,0.397165427,1.588661709
Oregon Institute of Technology,Klamath Falls,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,33,0.9062,650,650,3257,11622,32515,0.5556,0.2809,1,1225,10214,3568,12040,3568,57800,15,58593,80269,0.2,8499,,36182,52974.7,0.2949,9605,9092,0.7164,153369,0.376868859,1.507475435
Highlands College of Montana Tech,Butte,MT,1084225,29874,67631,0.346,0.611,34350,0.346,1,33,1,635,624,312,3590,9390,,,2,1320,10658,4374,10658,4374,52100,13,39538,60666,0.16,8322,,38398,44236.75,0.2297,5802,4195,,139438,0.373642766,1.494571064
Arizona State University-Polytechnic,Mesa,AZ,7151502,31185,74568,0.33,0.577,37209,0.33,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,,152642,0.363595865,1.454383459
Arizona State University-Downtown Phoenix,Phoenix,AZ,7151502,31185,74568,0.33,0.577,37209,0.33,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,,152642,0.363595865,1.454383459
Oregon State University,Corvallis,OR,4237256,31685,75657,0.363,0.597,37774,0.363,3,13,0.8921,680,690,27038,12188,31579,0.6818,0.4059,1,600,13860,2754,13860,2745,56700,18,52655,69532,0.19,10714,,44450,60312.67,0.3305,11183,12585,0.8567,156142,0.363130996,1.452523985
University of Nevada-Reno,Reno,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,11,0.8816,640,630,16274,8588,24680,0.6268,0.3979,1,1200,12216,4792,12216,4792,56300,17,54508,67144,0.19,10322,,48103,68050.29,0.2884,12091,8227,0.7949,158088,0.356130763,1.42452305
